"","format_pub"
"1","Magnucka, EG., Kulczycki, G., Oksińska, MP., Kucińska, J., Pawęska, K., Milo, Ł., & ... (2023). The Effect of Various Forms of Sulfur on Soil Organic Matter Fractions and Microorganisms in a Pot Experiment with Perennial Ryegrass (Lolium perenne L.). *Plants*. 12 (14), 2649"
"2","Kulczycki, G., Sacała, E., Koszelnik-Leszek, A., & Milo, Ł. (2023). Perennial Ryegrass (Lolium perenne L.) Response to Different Forms of Sulfur Fertilizers. *Agriculture*. 13 (9), 1773"
"3","Januszkiewicz, R., Kulczycki, G., & Samoraj, M. (2023). Foliar Fertilization of Crop Plants in Polish Agriculture. *Agriculture*. 13 (9), 1715"
"4","Kulczycki, G., Sacała, E., Chohura, P., & Załuska, J. (2022). Maize and wheat response to drought stress under varied sulphur fertilisation. *Agronomy*. 12 (5), 1076"
"5","Marczak, D., Lejcuś, K., Kulczycki, G., & Misiewicz, J. (2022). Towards circular economy: Sustainable soil additives from natural waste fibres to improve water retention and soil fertility. *Science of the Total Environment*. 844, 157169"
"6","Kulczycki, G., Sacała, E., Chohura, P., & Załuska, J. (2022). Maize and Wheat Response to Drought Stress under Varied Sulphur Fertilisation. Agronomy 2022, 12, 1076. *Plant Responses to Stress and Environmental Stimulus*. 127"
"7","Kulczycki, G. (2021). The effect of elemental sulfur fertilization on plant yields and soil properties. *Advances in Agronomy*. 167, 105-181"
"8","Kulczycki, G., Magnucka, EG., Oksińska, MP., Kucińska, J., Kobyłecki, R., & ... (2020). The Effect of Various Types of Biochar Mixed with Mineral Fertilization on the Development and Ionome of Winter Wheat (Triticum aestivum L.) Seedlings and Soil …. *Agronomy*. 10 (12), 1903"
"9","Kulczycki, G., & Sacała, E. (2020). Sulfur application alleviates chromium stress in maize and wheat. *Open Chemistry*. 18 (1), 1093-1104"
"10","Sacała, E., & Kulczycki, G. (2020). Sulfur application alleviates chromium stress in maize and wheat.. **. "
"11","Kulczycki, G. (2015). Wpływ nawożenia siarką elementarną na plon roślin i właściwości gleb. *Wydawnictwo Uniwersytetu Przyrodniczego*. "
"12","Kulczycki, G., Grocholski, P., Stepien, P., & Michalski, A. (2015). Comparison of the variable potassium fertilization on light and heavy soils. *Open Chemistry*. 13 (1), 000010151520150130"
"13","Szydelko-Rabska, E., Kulczycki, G., & Sowinski, J. (2014). Impact of different forms of nitrogen fertilizer on the content and uptake of microelements in sorghum. *Journal of Elementology*. 19 (2)"
"14","Kulczycki, G., & Koronczok, J. (2014). Nawożenie zmiennymi dawkami fosforu i potasu buraka cukrowego. *Burak Cukrowy*. "
"15","Kulczycki, G., & Grocholski, P. (2013). The effect of long-term phosphorus and potassium precision fertilization. *Precision agriculture ’*. ’13, 395-401"
"16","Kulczycki, G. (2012). The effect of phosphorus and potassium precision fertilization upon changes in the content of the soluble form of these elements in soil.. *Fragmenta Agronomica*. 29 (1), 70-82"
"17","Bielecki, K., & Kulczycki, G. (2012). Modification of Butters-Chenery method for determination of total sulfur in plants and soil. *Przem. Chem*. 91 (5), 688-691"
"18","Kulczycki, G. (2012). Wpływ precyzyjnego nawożenia fosforem i potasem na zmiany zawartości rozpuszczalnych form tych pierwiastków w glebie. *Fragmenta Agronomica*. 70–82"
"19","BielecKi, K., & KulczycKi, GG. (2012). Modyfikacja metody Buttersa i Cheneryego oznaczania siarki ogólnej w roślinach i glebie. *Przemysł Chemiczny*. 688-691"
"20","Grzyś, E., Demczuk, A., Sacała, E., & Kulczycki, G. (2012). Effect of retardants on blade growth and content of microelements (Fe, Mn, Zn, Cu) in the grain and stalks of spring wheat cultivars.. *Zeszyty Naukowe Uniwersytetu Przyrodniczego we Wrocławiu-Rolnictwo*. 102 (588 …"
"21","Grzyś, E., Demczuk, A., Sacała, E., & Kulczycki, G. (2012). Effect of retardants on the content of selected macroelements in winter wheat cultivars Wpływ retardantów na zawartość wybranych makroelementów u odmian pszenicy ozimej. *PROGRESS IN PLANT PROTECTION/POSTĘPY W OCHRONIE ROŚLIN*. 52 (4), 893-897"
"22","Grzys, E., Demczuk, A., Sacala, E., & Kulczycki, G. (2012). Effect of retardants on the content of selected macroelements in winter wheat cultivars. *Progress in Plant Protection*. 4 (52)"
"23","Grzyś, E., Demczuk, A., Sacała, E., Kulczycki, G., gROWth, EECORON BLADE., & ... (2012). Wpływ retardantów na wzrost źdźbła. *Zeszyty Naukowe Uniwersytetu Przyrodniczego we Wrocławiu*. 588 (CII), 67-73"
"24","Kulczycki, G. (2011). The effect of soil and foliar sulphur application on winter wheat yield and soil properties. *Fertilizers and Fertilization*. 43, 21-28"
"25","Kulczycki, G. (2011). Żyto potrzebuje wczesnej dawki azotu na wiosnę. *Top Agrar Polska*. "
"26","GEDIGA, K., SPIAK, Z., PISZCZ, U., PATORCZYK–PYTLIK, B., & KULCZYCKI, G. (2011). Suitability of selected soil extraction solutions for available zinc content of the soils from lower Silesia Province in Poland. **. 3rd International Zinc Symposium Hyderabad, India, 10-14 October"
"27","Spiak, Z., & Kulczycki, G. (2010). Nawozy mineralne zrodlem skladnikow pokarmowych. *Top Agrar Polska*. 104-106"
"28","Patorczyk-Pytlik, B., & Kulczycki, G. (2009). Content of selenium in arable soils near Wroclaw. *Journal of Elementology*. 14 (4), 755-762"
"29","Kulczycki, G., Januszkiewicz, R., & Jachymczak, A. (2009). The effect of foliar applied fertilizer Ekolist on the yield and chemical composition of spring wheat. *ZESZYTY NAUKOWE UNIWERSYTETU PRZYRODNICZEGO WE WROCŁAWIU*. 574, 19-28"
"30","Kulczycki, G., Januszkiewicz, R., & Jachymczak, A. (2009). Wpływ dolistnego nawożenia fosforem z dodatkiem mikroelementów na plon i skład chemiczny pszenicy jarej. *Zeszyty Problemowe Postępów Nauk Rolniczych*. 2 (541)"
"31","Kulczycki, G. (2009). Mikroelementy niezbędne na starcie. *Top Agrar Polska*. "
"32","Kulczycki, G., Januszkiewicz, R., & Jachymczak, A. (2008). The effect of foliar application of Ekolist fertilizer on maize yielding and chemical composition. *Annales UMCS, Agricultura*. 63 (4)"
"33","KULCZYCKI, G., & PATORCZYK-PYTLIK, B. (2008). Zawartość siarki w glebach i runi użytków zielonych okolic Wrocławia. *Ekotoksykologia w Ochronie Środowiska*. 203-212"
"34","Kulczycki, G., & Spiak, Z. (2008). Wykorzystanie preparatow mineralnych i mineralno-organicznych do poprawy wlasciwosci gleb z terenow popowodziowych. *Zeszyty Problemowe Postępów Nauk Rolniczych*. 249-258"
"35","Kulczycki, G. (2008). Nawozenie mikroelementami roslin uprawnych. *Agrotechnika. Poradnik Rolnika*. "
"36","Kulczycki, G., & Spiak, Z. (2008). The use of mineral and organic-mineral substances to improve properties of floded soils. *Zeszyty Problemowe Postepow Nauk Rolniczych*. 533, 249-258"
"37","Grocholski, J., Sowiński, J., Kulczycki, G., & Wardęga, S. (2007). Wpływ terminu siewu przewódkowych odmian pszenicy uprawianych na glebie pyłowo-ilastej na plon i parametry morfologiczne roślin  The effect of sowing date of facultative wheat …. *ZESZYTY NAUKOWE UNIWERSYTETU PRZYRODNICZEGO WE WROCŁAWIU*. 560, 7-12"
"38","Kulczycki, G. (2007). Wplyw siarki siarczanowej i elementarnej na plon i sklad chemiczny roslin oraz wlasciwosci chemiczne gleby. *Fragmenta Agronomica*. 24 (1), 140-149"
"39","Grocholski, J., Sowiński, J., Kulczycki, G., & Wardęga, S. (2007). The effect of sowing date of facultative wheat varieties cultivated on silt-loam soil on yield and plant morphology.. *Zeszyty Naukowe Uniwersytetu Przyrodniczego we Wrocławiu-Rolnictwo*. 91 (560 …"
"40","Kulczycki, G., Grzys, E., & Grocholski, J. (2007). Wplyw regulatorow wzrostu na sklad chemiczny zdzbel wybranych odmian pszenicy ozimej. *Progress in Plant Protection*. 47 (3), 177-181"
"41","Kulczycki, G. (2007). The influence of sulphate and elemental sulphur fertilization on yield, chemical composition of plants and chemical soil properties.. **. "
"42","Matkowski, K., Pląskowska, EM., Patorczyk-Pytlik, B., & Gediga, GK. (2007). Badania zbiorowisk grzybów w glebie zanieczyszczonej kadmem nawożonej różnymi materiałami organicznymi. *ZESZYTY PROBLEMOWE POSTĘPÓW NAUK ROLNICZYCH*. 520, 345-351"
"43","Kulczycki, G., Pląskowska, KM., & Moszczyńska, E. (2007). Wpływ nawożenia siarką siarczanową i elementarną na liczebność i skład gatunkowy zbiorowisk grzybów w glebie. *ZESZYTY PROBLEMOWE POSTĘPÓW NAUK ROLNICZYCH*. 520, 525-530"
"44","Kamińska, AJ., Kulczycki, G., & Spiak, Z. (2007). Ocena zawartości metali ciężkich w glebach i wybranych roślinach w rejonie oddziaływania Zakładów Chemicznych"" Wizów"" SA. *Zeszyty Naukowe. Inżynieria Środowiska / Uniwersytet Zielonogórski*. 133 (13 …"
"45","Kulczycki, G., Plaskowska, E., Matkowski, K., & Moszczynska, E. (2007). Influence of sulphur sulphate and elementary sulphur fertilization on the quantity and specific composition of fungi communities in the soil. *ZESZYTY PROBLEMOWE POSTEPOW NAUK ROLNICZYCH-POLSKA AKADEMIA NAUK*. 520 (2), 525"
"46","Grzyś, E., Grocholski, J., Demczuk, A., Sacała, E., & Kulczycki, G. (2007). Effect of growth regulators on length of stem, nitrogen reductase activity and chlorophyll content in leaves of some varieties of winter wheat.. **. "
"47","Kulczycki, G., Grzyś, E., & Grochloski, J. (2007). The influence of growth regulators on chemical composition of stems of chosen winter wheat varieties.. **. "
"48","Kulczycki, G., Grzyś, E., & Grocholski, J. (2007). Wpływ regulatorów wzrostu na skład chemiczny źdźbeł wybranych odmian pszenicy ozimej. *Progress in Plant Protection/Postępy w Ochronie Roślin*. 47 (3)"
"49","Spiak, Z., & Kulczycki, G. (2007). Wpływ stosowania preparatów organicznych i mineralnych na plonwanie i skład chemiczny gryki uprawianej na glebach z terenów popowodziowych. *Zeszyty Problemowe Postępów Nauk Rolniczych*. 520 (1)"
"50","Grzys, E., Grocholski, J., Demczuk, A., Sacala, E., & Kulczycki, G. (2007). Wplyw regulatorow wzrostu na dlugosc zdzbla, aktywnosc reduktazy azotanowej i zawartosc chlorofili w lisciach wybranych odmian pszenicy ozimej. *Progress in Plant Protection*. 47 (3), 113-116"
"51","Spiak, Z., & Kulczycki, G. (2007). The influence of applied organic and mineral preparations on yield and chemical composition of backweat cultivated on soils after flood. *ZESZYTY PROBLEMOWE POSTEPOW NAUK ROLNICZYCH-POLSKA AKADEMIA NAUK*. 520 (1), 167"
"52","Matkowski, K., Plaskowska, E., Moszczynska, E., Patorczyk-Pytlik, B., Gediga, K., & ... (2007). Investigation of fungal communities in the soil polluted with cadmium and fertilized with different organic materials. *ZESZYTY PROBLEMOWE POSTEPOW NAUK ROLNICZYCH-POLSKA AKADEMIA NAUK*. 520 (1), 345"
"53","Kulczycki, G., Sowinski, J., & Grocholski, J. (2006). Reakcja odmian pszenicy ozimej na stosowane regulatory wzrostu. *Progress in Plant Protection*. 46 (2), 246-248"
"54","Kulczycki, G. (2006). Wpływ zróżnicowanego nawożenia potasem i azotem na plon roślin oraz właściwości gleby średniej The influence of different potassium and nitrogen fertilization on the plant …. *Zeszyty Naukowe Uniwersytetu Przyrodniczego we Wrocławiu*. 546 (LXXXIX), 221-228"
"55","Kulczycki, G., & Roslin, WKZ. (2006). The influence of different potassium and nitrogen fertilization on the plant yield and medium soil properties. *Zeszyty Naukowe Uniwersytetu Przyrodniczego we Wroclawiu. Rolnictwo (Poland)*. "
"56","Kulczycki, G., Spiak, Z., & Kamińska, A. (2006). Wpływ oddziaływania Zakładów Chemicznych „Wizów” na zawartość siarki w glebach i roślinach   The influence of chemical Company „Wizów” on the sulphur content in soil and plants. *ZESZYTY NAUKOWE UNIWERSYTETU PRZYRODNICZEGO WE WROCŁAWIU*. 546, 237-242"
"57","Kulczycki, G., Spiak, Z., & Kamińska, A. (2006). Wpływ oddziaływania Zakładów Chemicznych „Wizów” na zawartość fluoru w glebach i roślinach   Impact of chemical Company „Wizów” on the content of fluorine in soil and plant. *ZESZYTY NAUKOWE UNIWERSYTETU PRZYRODNICZEGO WE WROCŁAWIU*. 546 (ROLNICTWO …"
"58","Kulczycki, G., Spiak, Z., Kaminska, A., & Roslin, WKZ. (2006). Impact of Chemical Company Wizow on the content of fluorine in soil and plant. *Zeszyty Naukowe Uniwersytetu Przyrodniczego we Wroclawiu. Rolnictwo (Poland)*. "
"59","Kulczycki, G., Sowiński, J., & Grocholski, J. (2006). Effect of growth regulators on winter wheat varieties.. **. "
"60","Kulczycki, G. (2006). Wpływ zróżnicowanego nawożenia potasem i azotem na plon roślin oraz właściwości gleby lekkiej  The influence of different potassium and nitrogen fertilization on the plant yield. *ZESZYTY NAUKOWE UNIWERSYTETU PRZYRODNICZEGO*. 546, 229-235"
"61","Kulczycki, G., Spiak, Z., Kaminska, A., & Roslin, WKZ. (2006). The influence of Chemical Company Wizow on the sulphur content in soil and plants. *Zeszyty Naukowe Uniwersytetu Przyrodniczego we Wroclawiu. Rolnictwo (Poland)*. "
"62","Spiak, Z., & Kulczycki, G. (2005). Contents of micronutrients in sewage sludges from selected sewage treatment plants of the lower silesia province. *Zeszyty Problemowe Postępów Nauk Rolniczych*. 502, 973-978"
"63","Kulczycki, G. (2005). Effect of elementary sulphur fertilization on the content of micronutrients in plants and soils. Part I. Copper and zinc. *ZESZYTY PROBLEMOWE POSTEPOW NAUK ROLNICZYCH-POLSKA AKADEMIA NAUK*. 502 (1), 199"
"64","Kulczycki, G., & Spiak, Z. (2005). Impact of Wizow chemical industry plant on the content of micronutrients in soil and plants. *Zeszyty Problemowe Postępów Nauk Rolniczych*. 502, 887-892"
"65","Kulczycki, G., & Grocholski, J. (2004). Zawartosc mikroelementow w ziarnie i slomie wybranych odmian pszenicy ozimej. *Zeszyty Problemowe Postępów Nauk Rolniczych*. 502 (1), 215-221"
"66","Kulczycki, G. (2004). Wplyw nawozenia siarka elementarna na zawartosc mikroelementow w roslinach i glebach. Cz. II. Mangan i zelazo. *Zeszyty Problemowe Postępów Nauk Rolniczych*. 502 (1), 207-213"
"67","Kulczycki, G., & Grocholski, J. (2004). The content of microelements in grain and straw of selected winter wheat cultivars. *Zeszyty Problemowe Postępow Nauk Rolniczych*. 502, 215-221"
"68","Karoñ, B., Kulczycki, G., & Bartmañski, A. (2004). Wplyw skladu kompleksu sorpcyjnego gleb na zawartosc skladnikow mineralnych w kupkowce. *Annales Universitatis Mariae Curie-Skłodowska. Sectio E. Agricultura*. 59 (2 …"
"69","Kulczycki, G. (2004). Wplyw nawozenia siarka elementarna na zawartosc mikroelementow w roslinach i glebach. Cz. I. Cynk, miedz. *Zeszyty Problemowe Postępów Nauk Rolniczych*. 502 (1), 199-206"
"70","Spiak, Z., & Kulczycki, G. (2004). Zawartość mikroelementów w osadach ściekowych z wybranych oczyszczalni województwa dolnośląskiego. *ZESZYTY PROBLEMOWE POSTEPOW NAUK ROLNICZYCH*. 973-978"
"71","Kulczycki, G. (2004). Effect of elementary sulphur fertilization on the content of micronutrients in plants and soils. Part I. Copper and zinc. *Zeszyty Problemowe Postępów Nauk Rolniczych*. 502, 199-206"
"72","Spiak, Z., & Kulczycki, G. (2004). Effect of different forms of copper compounds on Cu uptake by plants. *Zeszyty Problemowe Postępów Nauk Rolniczych*. 502, 341-347"
"73","Kulczycki, G., & Spiak, Z. (2004). Wplyw oddzialywania Zakladow Chemicznych Wizow na zawartosc mikroelementow w glebach i roslinach. *Zeszyty Problemowe Postępów Nauk Rolniczych*. 502 (2), 887-892"
"74","Kulczycki, G. (2004). Effect of elementary sulphur fertilization on the content of micronutrients in plants and soils. Part II. Manganese and iron. *Zeszyty Problemowe Postepow Nauk Rolniczych*. 502, 207-213"
"75","Karoń, B., Kulczycki, G., & Bartmański, A. (2004). The influence of soil sorptive complex composition on concentration of mineral elements in cocksfoot.. **. "
"76","Kulczycki, G. (2003). Wpływ nawożenia siarka elementarna na plon i skład chemiczny roślin oraz właściwości chemiczne gleby. *Fertilizers and Fertilization*. 151-159"
"77","Kulczycki, G., & Spiak, Z. (2003). Zawartość siarki ogólnej i siarczanowej w glebach polski południowo-zachodniej. *Fertilizers and Fertilization*. 75-81"
"78","Kulczycki, G., & Karon, B. (2003). Wpływ oddziaływania wybranych zakładów przemysłowych na zawartość siarki w glebie i roślinach. *Zeszyty Problemowe Postępów Nauk Rolniczych*. 493 (1)"
"79","Karon, B., & Kulczycki, G. (2003). Fertilizing value of poultry manure in the light of pot experiment. *Zeszyty Problemowe Postepow Nauk Rolniczych*. 493, 793-799"
"80","Karon, B., & Kulczycki, G. (2003). Wartość nawozowa obornika drobiowego w świetle doświadczeń wazonowych. *Zeszyty Problemowe Postępów Nauk Rolniczych*. 493 (3)"
"81","Kulczycki, G., & Karon, B. (2003). Influence of some industrial plants on the sulphur content in soils and plants. *Zeszyty Problemowe Postępów Nauk Rolniczych*. 493, 185-192"
"82","Kulczycki, G., & Karon, B. (2001). The influence of nitrogen fertilization applied on soils of different potassium and gnesium contents on the yield and chemical composition of maize and chemical soil properties. *Zeszyty Problemowe Postępow Nauk Rolniczych*. 480, 259-268"
"83","Kulczycki, G., & Spiak, Z. (2000). Wpływ oddziaływania wybranych zakładów przemysłowych na zawartość metali ciężkich w glebach i roślinach. *Zeszyty Problemowe Postępów Nauk Rolniczych*. 471 (2)"
"84","Kulczycki, G., & Spiak, Z. (2000). Impact of selected industrial works on the content of heavy metals in soil and plants. *Zeszyty Problemowe Postępów Nauk Rolniczych*. 471, 1029-1037"
"85","Kulczycki, G., & Piwowarski, T. (2000). Zintegrowany system informacyjny a controlling-praktyczne problemy na przykładzie przedsiębiorstwa ciepłowniczego. *Prace Naukowe Akademii Ekonomicznej we Wrocławiu*. 143-153"
"86","Kulczycki, G. (1998). Wplyw zroznicowanego nawozenia potasem na wybrane wlasciwosci gleby oraz plon i pobieranie skladnikow pokarmowych przez kukurydze. Cz. 2. Plon i jego sklad chemiczny. *Roczniki Gleboznawcze*. 49 (3-4), 63-72"
"87","Roszyk, E., Szerszen, L., & Kulczycki, G. (1994). Sklad chemiczny roslin uprawnych na terenach oddzialywania hut miedzi. Cz. II-Miedz i olow. *Zeszyty Naukowe Akademii Rolniczej we Wrocławiu. Rolnictwo*. 62, 93-101"
"88","Kulczycki, G. (1994). Dzialanie nawozowe maczki fosforytowej z dodatkiem soli potasowej. *Zeszyty Naukowe Akademii Rolniczej we Wrocławiu. Rolnictwo*. 59, 39-46"
"89","Kulczycki, G. (1994). Impact of phosphorite powder fertilizing with potassium chloride addition. *Zeszyty Naukowe Akademii Rolniczej we Wroclawiu. Rolnictwo (Poland)*. "
"90","Roszyk, E., Szerszen, L., & Kulczycki, G. (1994). Chemical composition of plants cultivated in areas affected by copperworks. Pt. 2-Copper and lead. *Zeszyty Naukowe Akademii Rolniczej we Wroclawiu. Rolnictwo*. 254, 93-101"
"91","Rabikowska, B., Wilk, K., Piszcz, U., & Kulczycki, G. (1993). Wplyw 20-letniego zroznicowanego nawozenia mineralnego na wlasciwosci gleby gliniastej. Cz. II. *Zeszyty Naukowe Akademii Rolniczej w Krakowie. Sesja Naukowa*. 37 (2), 359-372"
