Paper,Link
The effect of elemental sulfur fertilization on plant yields and soil properties,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:xtRiw3GOFMkC
The Effect of Various Types of Biochar Mixed with Mineral Fertilization on the Development and Ionome of Winter Wheat (Triticum aestivum L.) Seedlings and Soil …,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:abG-DnoFyZgC
Maize and wheat response to drought stress under varied sulphur fertilisation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:KxtntwgDAa4C
Sulfur application alleviates chromium stress in maize and wheat,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:b0M2c_1WBrUC
Content of selenium in arable soils near Wroclaw,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:9yKSN-GCB0IC
Wpływ terminu siewu przewódkowych odmian pszenicy uprawianych na glebie pyłowo-ilastej na plon i parametry morfologiczne roślin,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:IjCSPb-OGe4C
Wpływ nawożenia siarką elementarną na plon i skład chemiczny roślin oraz właściwości chemiczne gleby,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:u5HHmVD_uO8C
The effect of phosphorus and potassium precision fertilization upon changes in the content of the soluble form of these elements in soil.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:HoB7MX3m0LUC
Wplyw nawozenia siarka elementarna na zawartosc mikroelementow w roslinach i glebach. Cz. II. Mangan i zelazo,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:M3ejUd6NZC8C
Zawartosc mikroelementow w ziarnie i slomie wybranych odmian pszenicy ozimej,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:d1gkVwhDpl0C
Zawartość siarki ogólnej i siarczanowej w glebach Polski Południowo-Zachodniej,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:u-x6o8ySG0sC
Towards circular economy: Sustainable soil additives from natural waste fibres to improve water retention and soil fertility,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:OU6Ihb5iCvQC
Sklad chemiczny roslin uprawnych na terenach oddzialywania hut miedzi. Cz. II-Miedz i olow,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:RHpTSmoSYBkC
Modification of Butters-Chenery method for determination of total sulfur in plants and soil,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:W7OEmFMy1HYC
Wplyw siarki siarczanowej i elementarnej na plon i sklad chemiczny roslin oraz wlasciwosci chemiczne gleby,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:Tyk-4Ss8FVUC
The content of microelements in grain and straw of selected winter wheat cultivars,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:YsMSGLbcyi4C
Wpływ oddziaływania wybranych zakładów przemysłowych na zawartość siarki w glebie i roślinach,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:2osOgNQ5qMEC
Wpływ oddziaływania wybranych zakładów przemysłowych na zawartość metali ciężkich w glebach i roślinach,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:bFI3QPDXJZMC
Wplyw zroznicowanego nawozenia potasem na wybrane wlasciwosci gleby oraz plon i pobieranie skladnikow pokarmowych przez kukurydze. Cz. 2. Plon i jego sklad chemiczny,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:UebtZRa9Y70C
The effect of soil and foliar sulphur application on winter wheat yield and soil properties,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:MXK_kJrjxJIC
The effect of foliar applied fertilizer ekolist on the yield and chemical composition of spring wheat.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:UeHWp8X0CEIC
The effect of sowing date of facultative wheat varieties cultivated on silt-loam soil on yield and plant morphology.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:4JMBOYKVnBMC
Zawartosc mikroelementow w osadach sciekowych z wybranych oczyszczalni wojewodztwa dolnoslaskiego,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:WF5omc3nYNoC
"Wplyw nawozenia siarka elementarna na zawartosc mikroelementow w roslinach i glebach. Cz. I. Cynk, miedz",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:Y0pCki6q_DkC
Wplyw skladu kompleksu sorpcyjnego gleb na zawartosc skladnikow mineralnych w kupkowce,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:qjMakFHDy7sC
Wpływ precyzyjnego nawożenia fosforem i potasem na zmiany zawartości rozpuszczalnych form tych pierwiastków w glebie,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:LkGwnXOMwfcC
Effect of elementary sulphur fertilization on the content of micronutrients in plants and soils. Part I. Copper and zinc,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:7PzlFSSx8tAC
Wpływ nawożenia siarką elementarną na plon roślin i właściwości gleb,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:EUQCXRtRnyEC
Impact of different forms of nitrogen fertilizer on the content and uptake of microelements in sorghum,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:9ZlFYXVOiuMC
Modyfikacja metody Buttersa i Chenery'ego oznaczania siarki ogólnej w roślinach i glebie,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:JV2RwH3_ST0C
Wplyw regulatorow wzrostu na sklad chemiczny zdzbel wybranych odmian pszenicy ozimej,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:_FxGoFyzp5QC
Reakcja odmian pszenicy ozimej na stosowane regulatory wzrostu,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:YOwf2qJgpHMC
The influence of different potassium and nitrogen fertilization on the plant yield and medium soil properties,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:ufrVoPGSRksC
Wplyw zroznicowanego nawozenia potasem i azotem na plon roslin oraz wlasciwosci gleby sredniej,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:zYLM7Y9cAGgC
Comparison of the variable potassium fertilization on light and heavy soils,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:0EnyYjriUFMC
The effect of long-term phosphorus and potassium precision fertilization,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:Se3iqnhoufwC
"Effect of retardants on blade growth and content of microelements (Fe, Mn, Zn, Cu) in the grain and stalks of spring wheat cultivars.",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:_kc_bZDykSQC
Effect of different forms of copper compounds on Cu uptake by plants,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:roLk4NBRz8UC
Impact of selected industrial works on the content of heavy metals in soil and plants,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:8k81kl-MbHgC
The Effect of Various Forms of Sulfur on Soil Organic Matter Fractions and Microorganisms in a Pot Experiment with Perennial Ryegrass (Lolium perenne L.),https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:XiSMed-E-HIC
Effect of retardants on the content of selected macroelements in winter wheat cultivarsWpływ retardantów na zawartość wybranych makroelementów u odmian pszenicy ozimej,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:IWHjjKOFINEC
Wpływ dolistnego nawożenia fosforem z dodatkiem mikroelementów na plon i skład chemiczny pszenicy jarej,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:4TOpqqG69KYC
Zawartość siarki w glebach i runi użytków zielonych okolic Wrocławia,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:Zph67rFs4hoC
The effect of foliar application of Ekolist fertilizer on maize yielding and chemical composition,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:KlAtU1dfN6UC
"The influence of sulphate and elemental sulphur fertilization on yield, chemical composition of plants and chemical soil properties.",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:O3NaXMp0MMsC
Wpływ nawożenia siarką siarczanową i elementarną na liczebność i skład gatunkowy zbiorowisk grzybów w glebie,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:hMod-77fHWUC
Influence of sulphur sulphate and elementary sulphur fertilization on the quantity and specific composition of fungi communities in the soil,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:-f6ydRqryjwC
Badania zbiorowisk grzybów w glebie zanieczyszczonej kadmem nawożonej różnymi materiałami organicznymi,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:ULOm3_A8WrAC
"Ocena zawartości metali ciężkich w glebach i wybranych roślinach w rejonie oddziaływania Zakładów Chemicznych"" Wizów"" SA= Contents assessment of heavy metals in soils and …",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:kNdYIx-mwKoC
Impact of Chemical Company Wizow on the content of fluorine in soil and plant,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:RGFaLdJalmkC
Wplyw oddzialywania Zakladow Chemicznych'Wizow'na zawartosc fluoru w glebach i roslinach,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:TFP_iSt0sucC
Effect of elementary sulphur fertilization on the content of micronutrients in plants and soils. Part II. Manganese and iron,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:iH-uZ7U-co4C
Contents of micronutrients in sewage sludges from selected sewage treatment plants of the lower silesia province,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:QIV2ME_5wuYC
Wplyw oddzialywania Zakladow Chemicznych Wizow na zawartosc mikroelementow w glebach i roslinach,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:3fE2CSJIrl8C
Fertilizing value of poultry manure in the light of pot experiment,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:hqOjcs7Dif8C
Perennial Ryegrass (Lolium perenne L.) Response to Different Forms of Sulfur Fertilizers,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:WbkHhVStYXYC
Foliar Fertilization of Crop Plants in Polish Agriculture,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:Tiz5es2fbqcC
Sulfur application alleviates chromium stress in maize and wheat.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:tOudhMTPpwUC
Nawożenie zmiennymi dawkami fosforu i potasu buraka cukrowego,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:f2IySw72cVMC
Effect of retardants on the content of selected macroelements in winter wheat cultivars,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:u9iWguZQMMsC
Żyto potrzebuje wczesnej dawki azotu na wiosnę,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:ZeXyd9-uunAC
Nawozy mineralne zrodlem skladnikow pokarmowych,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:isC4tDSrTZIC
Mikroelementy niezbędne na starcie,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:maZDTaKrznsC
The use of mineral and organic-mineral substances to improve properties of floded soils,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:J_g5lzvAfSwC
Wykorzystanie preparatow mineralnych i mineralno-organicznych do poprawy wlasciwosci gleb z terenow popowodziowych,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:mB3voiENLucC
Nawozenie mikroelementami roslin uprawnych,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:qUcmZB5y_30C
"Effect of growth regulators on length of stem, nitrogen reductase activity and chlorophyll content in leaves of some varieties of winter wheat.",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:l7t_Zn2s7bgC
The influence of growth regulators on chemical composition of stems of chosen winter wheat varieties.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:738O_yMBCRsC
Wpływ regulatorów wzrostu na skład chemiczny źdźbeł wybranych odmian pszenicy ozimej,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:p2g8aNsByqUC
Wpływ stosowania preparatów organicznych i mineralnych na plonwanie i skład chemiczny gryki uprawianej na glebach z terenów popowodziowych,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:35N4QoGY0k4C
The influence of applied organic and mineral preparations on yield and chemical composition of backweat cultivated on soils after flood,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:BqipwSGYUEgC
"Wplyw regulatorow wzrostu na dlugosc zdzbla, aktywnosc reduktazy azotanowej i zawartosc chlorofili w lisciach wybranych odmian pszenicy ozimej",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:hC7cP41nSMkC
Investigation of fungal communities in the soil polluted with cadmium and fertilized with different organic materials,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:Wp0gIr-vW9MC
Effect of growth regulators on winter wheat varieties.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:K3LRdlH-MEoC
Wplyw oddzialywania Zakladow Chemicznych'Wizow'na zawartosc siarki w glebach i roslinach,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:M3NEmzRMIkIC
The influence of Chemical Company Wizow on the sulphur content in soil and plants,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:mVmsd5A6BfQC
Contents of micronutrients in sewage sludges from selected sewage treatment plants of the Lower Silesia Province,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:UxriW0iASnsC
Effect of elementary sulphur fertilization on the content of micronutrients in plants and soils. Part I. Copper and zinc,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:NhqRSupF_l8C
The influence of soil sorptive complex composition on concentration of mineral elements in cocksfoot.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:bEWYMUwI8FkC
Impact of Wizow chemical industry plant on the content of micronutrients in soil and plants,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:R3hNpaxXUhUC
Wartość nawozowa obornika drobiowego w świetle doświadczeń wazonowych,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:CHSYGLWDkRkC
Influence of some industrial plants on the sulphur content in soils and plants,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:4DMP91E08xMC
The influence of nitrogen fertilization applied on soils of different potassium and gnesium contents on the yield and chemical composition of maize and chemical soil properties,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:L8Ckcad2t8MC
Impact of phosphorite powder fertilizing with potassium chloride addition,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:NaGl4SEjCO4C
"Chemical composition of plants cultivated in fields affected by the copperworks"" Legnica""",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:ns9cj8rnVeAC
Dzialanie nawozowe maczki fosforytowej z dodatkiem soli potasowej,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:e5wmG9Sq2KIC
Wplyw 20-letniego zroznicowanego nawozenia mineralnego na wlasciwosci gleby gliniastej. Cz. II,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:dhFuZR0502QC
WPŁYW ODDZIAŁYWANIA ZAKŁADÓW CHEMICZNYCH „WIZÓW” NA ZAWARTOŚĆ FLUORU W GLEBACH I ROŚLINACH IMPACT OF CHEMICAL COMPANY „WIZÓW” ON THE CONTENT OF FLUORINE IN SOIL AND PLANT,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:lSLTfruPkqcC
THE EFFECT OF FOLIAR APPLIED FERTILIZER EKOLIST ON THE YIELD AND CHEMICAL COMPOSITION OF SPRING WHEAT WPŁYW NAWOZÓW DOLISTNYCH EKOLIST NA PLON I SKŁAD CHEMICZNY PSZENICY JAREJ,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:RYcK_YlVTxYC
WPŁYW ODDZIAŁYWANIA ZAKŁADÓW CHEMICZNYCH „WIZÓW” NA ZAWARTOŚĆ SIARKI W GLEBACH I ROŚLINACH THE INFLUENCE OF CHEMICAL COMPANY „WIZÓW” ON THE SULPHUR CONTENT IN SOIL AND PLANTS,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:blknAaTinKkC
WPLYW NAWOZENIA SIARKA ELEMENTARNA NA PLON 1 SKLAD CHEMICZNY ROSLIN ORAZ WLASCIWOSCI CHEMICZNE GLEBY,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:k_IJM867U9cC
Suitability Of Selected Soil Extraction Solutions for Available Zinc Content of the Soils from Lower Silesia Province in Poland,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:_Qo2XoVZTnwC
WPŁYW ZRÓŻNICOWANEGO NAWOŻENIA POTASEM I AZOTEM NA PLON ROŚLIN ORAZ WŁAŚCIWOŚCI GLEBY LEKKIEJ THE INFLUENCE OF DIFFERENT POTASSIUM AND NITROGEN FERTILIZATION ON THE PLANT YIELD,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:hFOr9nPyWt4C
WPŁYW RETARDANTóW NA WZROST ŹDŹBŁA,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:aqlVkmm33-oC
ZAWARTOSC SIARKI OGOLNEJ I SIARCZANOWEJ W GLEBACH POLSKI POLUDNIOWO-ZACHODNIEJ,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:qxL8FJ1GzNcC
